Time,Distance
2.764,19.848827362060547
2.775,21.74485969543457
2.793,24.711891174316406
2.81,28.085594177246094
2.831,32.188968658447266
2.843,34.921451568603516
2.857,37.46561050415039
2.873,41.3923454284668
2.892,46.02192306518555
2.906,49.69843673706055
2.923,54.093467712402344
2.941,58.71693801879883
2.96,64.25070190429688
2.974,68.15565490722656
2.989,73.14117431640625
3.015,73.61053466796875
3.042,73.61531066894531
3.057,73.61849975585938
3.078,74.02278137207031
3.094,73.5977783203125
3.132,73.61690521240234
3.158,73.6070785522461
3.176,74.01534271240234
3.2,73.6110610961914
3.226,73.611328125
3.243,74.03074645996094
3.267,74.01587677001953
3.29,74.48098754882812
3.309,74.47407531738281
3.331,74.02251434326172
3.358,74.47407531738281
3.375,73.60601806640625
3.399,73.60070037841797
3.425,74.02995300292969
3.465,74.01189422607422
3.492,73.60946655273438
3.509,74.44671630859375
3.531,73.6070785522461
3.557,74.00923156738281
3.597,74.46637725830078
3.624,73.60813903808594
3.662,73.5916748046875
3.69,74.43954467773438
3.725,74.02357482910156
3.757,73.6020278930664
3.774,74.0342025756836
3.794,73.61026763916016
3.823,73.61398315429688
3.839,74.01560974121094
3.862,74.44300079345703
3.889,73.60362243652344
3.93,73.60336303710938
3.956,73.60627746582031
3.995,74.00286102294922
4.02,73.60627746582031
4.037,74.00205993652344
4.06,73.60946655273438
4.088,73.59725189208984
4.123,73.5914077758789
4.149,73.59751892089844
4.172,73.5977783203125
4.194,74.43848419189453
4.221,73.59485626220703
4.238,73.60070037841797
4.261,74.0230484008789
4.288,74.44087219238281
4.307,74.44804382324219
4.329,74.8685302734375
4.354,74.0142822265625
4.394,74.0052490234375
4.419,73.60575103759766
4.437,74.02039337158203
4.461,73.60442352294922
4.487,74.85551452636719
4.526,74.8594970703125
4.552,74.00180053710938
4.57,74.84940338134766
4.591,74.84834289550781
4.618,74.01242065429688
4.637,74.86322021484375
4.658,74.0185317993164
4.687,74.44034576416016
4.718,73.99967193603516
4.741,73.59937286376953
4.766,74.02091979980469
4.783,74.02012634277344
4.802,74.42387390136719
4.818,74.42759704589844
4.833,74.03500366210938
4.854,74.01162719726562
4.87,74.02198791503906
4.907,74.4190902709961
4.934,74.01322174072266
4.969,74.417236328125
4.986,74.4278564453125
5.02,74.01560974121094

