
11.640000,	0.493315,	-2.068756

11.680000,	0.429051,	-2.068756

11.720000,	0.332660,	-2.068756

11.760000,	0.236277,	-2.068756

11.800000,	0.172025,	-2.068756

11.840000,	-0.020708,	-2.068756

11.880000,	-0.020708,	-2.068756

11.920000,	-0.084946,	-2.068756

11.960000,	-0.149180,	-2.068756

12.000000,	-0.245525,	-2.068756

12.040000,	-0.309751,	-2.068756

12.080000,	-0.406083,	-2.068756

12.120000,	-0.597865,	-1.941192

12.160000,	-0.629973,	-1.941192

12.200000,	-0.726079,	-1.909298

12.240000,	-0.822183,	-1.877403

12.280000,	-0.886182,	-1.845506

12.320000,	-0.982284,	-1.813609

12.360000,	-1.014384,	-1.813609

12.400000,	-1.110282,	-1.749811

12.440000,	-1.174282,	-1.717910

12.480000,	-1.238282,	-1.686008

12.520000,	-1.334187,	-1.622200

12.560000,	-1.398189,	-1.590295

12.600000,	-1.430095,	-1.558388

12.640000,	-1.526008,	-1.494571

12.680000,	-1.589829,	-1.430750

12.720000,	-1.621741,	-1.398838

12.760000,	-1.685570,	-1.335009

12.800000,	-1.749402,	-1.271177

12.840000,	-1.813240,	-1.207339

12.880000,	-1.844986,	-1.143497

12.920000,	-1.908833,	-1.079651

12.960000,	-1.972684,	-1.015800

13.000000,	-2.004443,	-0.951944

13.040000,	-2.004108,	-0.888084

13.080000,	-2.035874,	-0.824219

13.120000,	-2.067644,	-0.760349

13.160000,	-2.131356,	-0.664536

13.200000,	-2.131033,	-0.600656

13.240000,	-2.162816,	-0.536770

13.280000,	-2.162497,	-0.472880

13.320000,	-2.194128,	-0.377036

13.360000,	-2.225923,	-0.313134

13.400000,	-2.225612,	-0.249228

13.440000,	-2.225147,	-0.153360

13.480000,	-2.224839,	-0.089443

13.520000,	-2.224379,	0.006442

13.560000,	-2.256191,	0.070372

13.600000,	-2.223770,	0.134305

13.640000,	-2.319679,	0.230214

13.680000,	-2.223015,	0.294160

13.720000,	-2.222566,	0.390086

13.760000,	-2.158010,	0.454043

13.800000,	-2.157710,	0.518004

13.840000,	-2.157411,	0.581970

