# Time, Voltage
1.680000000000000104e-01,2.648750769604715671e+00
1.700000000000000122e-01,2.732926881218560311e+00
1.720000000000000140e-01,2.801066176639212202e+00
1.740000000000000158e-01,2.845154749363167923e+00
1.759999999999999898e-01,2.885234206652862454e+00
1.779999999999999916e-01,2.909281394915389285e+00
1.799999999999999933e-01,2.913289224180195092e+00
1.819999999999999951e-01,2.905273555523264051e+00
1.839999999999999969e-01,2.881226306496825984e+00
1.859999999999999987e-01,2.845154749363167923e+00
1.880000000000000004e-01,2.789041807768080972e+00
1.900000000000000022e-01,2.716893680478086992e+00
1.920000000000000040e-01,2.636725246219270957e+00
1.940000000000000058e-01,2.548535289713408147e+00
1.960000000000000075e-01,2.440295462053180486e+00
1.980000000000000093e-01,2.316010999909849488e+00
2.000000000000000111e-01,2.187707153231258417e+00
2.020000000000000129e-01,2.063402912434819214e+00
2.040000000000000147e-01,1.915027046156218660e+00
2.060000000000000164e-01,1.770648031129127276e+00
2.080000000000000182e-01,1.610211509797068175e+00
2.099999999999999922e-01,1.453770300364100265e+00
2.119999999999999940e-01,1.285277925175146052e+00
2.139999999999999958e-01,1.116767685396288456e+00
2.159999999999999976e-01,9.442267893766373987e-01
2.179999999999999993e-01,7.716671679450062271e-01
2.200000000000000011e-01,5.950751483737928282e-01
2.220000000000000029e-01,4.224776406435069021e-01
2.240000000000000047e-01,2.458468536969249385e-01
2.260000000000000064e-01,6.919646026165082731e-02
2.280000000000000082e-01,-1.034580946539680468e-01
2.300000000000000100e-01,-2.721155046258392218e-01
2.320000000000000118e-01,-4.448070748907184679e-01
2.340000000000000135e-01,-6.014505066202797678e-01
2.360000000000000153e-01,-7.661435436511965236e-01
2.380000000000000171e-01,-9.188010717605887834e-01
2.399999999999999911e-01,-1.071473223717951839e+00
2.419999999999999929e-01,-1.216123488844800704e+00
2.439999999999999947e-01,-1.352749679640330882e+00
2.459999999999999964e-01,-1.481349730131560349e+00
2.479999999999999982e-01,-1.597902483502485538e+00
2.500000000000000000e-01,-1.710444258012538299e+00
2.520000000000000018e-01,-1.814954443720916188e+00
2.540000000000000036e-01,-1.907411468591554637e+00
2.560000000000000053e-01,-1.991833430990260112e+00
2.580000000000000071e-01,-2.064198667735100301e+00
2.600000000000000089e-01,-2.128526077250045390e+00
2.620000000000000107e-01,-2.176773335775768814e+00
2.640000000000000124e-01,-2.221001270530143401e+00
2.660000000000000142e-01,-2.249146957940359570e+00
2.680000000000000160e-01,-2.269251324195783681e+00
2.700000000000000178e-01,-2.277293141589183278e+00
2.720000000000000195e-01,-2.273272227828824654e+00
2.740000000000000213e-01,-2.257188674060573774e+00
2.760000000000000231e-01,-2.233063647227753634e+00
2.780000000000000249e-01,-2.196876790572524385e+00
2.800000000000000266e-01,-2.148628924407688601e+00
2.820000000000000284e-01,-2.088321142483648529e+00
2.840000000000000302e-01,-2.028015639206278919e+00
2.860000000000000320e-01,-1.951631939512166625e+00
2.880000000000000338e-01,-1.863192223076486798e+00
2.899999999999999800e-01,-1.778777066235839754e+00
2.919999999999999818e-01,-1.670249855657422344e+00
2.939999999999999836e-01,-1.565749149119197270e+00
2.959999999999999853e-01,-1.453217582946232156e+00
2.979999999999999871e-01,-1.332656858528041610e+00
2.999999999999999889e-01,-1.212105248696536464e+00
3.019999999999999907e-01,-1.079509005229501994e+00
3.039999999999999925e-01,-9.509413621575983910e-01
3.059999999999999942e-01,-8.143496042451019434e-01
3.079999999999999960e-01,-6.737526704252569942e-01
3.099999999999999978e-01,-5.331681425706218391e-01
3.119999999999999996e-01,-3.966121948564804711e-01
3.140000000000000013e-01,-2.520363047569844639e-01
3.160000000000000031e-01,-1.155044600609667071e-01
3.180000000000000049e-01,4.955092445015907288e-03
3.200000000000000067e-01,1.695684072243910379e-01
3.220000000000000084e-01,3.060640973932233777e-01
3.240000000000000102e-01,4.385340126887982137e-01
3.260000000000000120e-01,5.669791557156500517e-01
3.280000000000000138e-01,6.994273479129571314e-01
3.300000000000000155e-01,8.198252250490352111e-01
3.320000000000000173e-01,9.402139875984278916e-01
3.340000000000000191e-01,1.052568609261873789e+00
3.360000000000000209e-01,1.160903046331895894e+00
3.380000000000000226e-01,1.265218119121295004e+00
3.400000000000000244e-01,1.353479371949674714e+00
3.420000000000000262e-01,1.445747259019272590e+00
3.440000000000000280e-01,1.521964516233191844e+00
3.460000000000000298e-01,1.598178117485117511e+00
3.480000000000000315e-01,1.658344167586200513e+00
3.500000000000000333e-01,1.710486234501830793e+00
3.519999999999999796e-01,1.762626589900628815e+00
3.539999999999999813e-01,1.798722756418337454e+00
3.559999999999999831e-01,1.822786411700809239e+00
3.579999999999999849e-01,1.842839179268276339e+00
3.599999999999999867e-01,1.854870718280933417e+00
3.619999999999999885e-01,1.854870718280933417e+00
3.639999999999999902e-01,1.842839179268276339e+00
3.659999999999999920e-01,1.826796985468940093e+00
3.679999999999999938e-01,1.798722756418337454e+00
3.699999999999999956e-01,1.766637315578536871e+00
3.719999999999999973e-01,1.714497091834880749e+00
3.739999999999999991e-01,1.666366135435263018e+00
3.760000000000000009e-01,1.602189258383086568e+00
3.780000000000000027e-01,1.538009788737364048e+00
3.800000000000000044e-01,1.461793301199653783e+00
3.820000000000000062e-01,1.385573157699951707e+00
3.840000000000000080e-01,1.289289856003961177e+00
3.860000000000000098e-01,1.205037181861959183e+00
3.880000000000000115e-01,1.108742942661946174e+00
3.900000000000000133e-01,1.008430240512661058e+00
3.920000000000000151e-01,9.081112087892879714e-01
3.940000000000000169e-01,7.997595451504313502e-01
3.960000000000000187e-01,6.914004986963586674e-01
3.980000000000000204e-01,5.790203561901936524e-01
4.000000000000000222e-01,4.666322738662938008e-01
4.020000000000000240e-01,3.542362517246591125e-01
4.040000000000000258e-01,2.378177157063365854e-01
4.060000000000000275e-01,1.254055303643131225e-01
4.080000000000000293e-01,4.955092445015907288e-03
4.100000000000000311e-01,-9.944265977293831327e-02
4.120000000000000329e-01,-2.118786645681662861e-01
4.140000000000000346e-01,-3.203066172975805870e-01
4.160000000000000364e-01,-4.247256976483786417e-01
4.179999999999999827e-01,-5.251351156897143824e-01
4.199999999999999845e-01,-6.255508633051380940e-01
4.219999999999999862e-01,-7.219559358792455583e-01
4.239999999999999880e-01,-8.143496042451019434e-01
4.259999999999999898e-01,-9.027311696177289235e-01
4.279999999999999916e-01,-9.830823007029945160e-01
4.299999999999999933e-01,-1.059419627405516096e+00
4.319999999999999951e-01,-1.131742572468136032e+00
4.339999999999999969e-01,-1.196032389376663119e+00
4.359999999999999987e-01,-1.252288105908517579e+00
4.380000000000000004e-01,-1.304527334318214216e+00
4.400000000000000022e-01,-1.340693956591001879e+00
4.420000000000000040e-01,-1.388917395663520793e+00
4.440000000000000058e-01,-1.421067165230683216e+00
4.460000000000000075e-01,-1.441161100348011814e+00
4.480000000000000093e-01,-1.457236430733608756e+00
4.500000000000000111e-01,-1.469293034859651570e+00
4.520000000000000129e-01,-1.473311923156302328e+00
4.540000000000000147e-01,-1.465274156690318463e+00
4.560000000000000164e-01,-1.457236430733608756e+00
4.580000000000000182e-01,-1.433123495919124579e+00
4.600000000000000200e-01,-1.409010925688107818e+00
4.620000000000000218e-01,-1.376861399176590339e+00
4.640000000000000235e-01,-1.340693956591001879e+00
